Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
84,180.443,270.376,339.846,0.180282,59.6376,9536.03,361434,0
85,180.214,269.588,351.871,0.180072,59.6255,9634.35,370027,0
86,179.699,269.056,366.752,0.179863,59.6127,9728.53,377806,0
87,178.909,269.059,377.612,0.179701,59.6032,9819.62,384745,0
88,177.893,269.095,385.831,0.179545,59.592,9907.02,391443,0
89,176.811,269.626,392.399,0.179368,59.582,9989.15,397573,0
90,175.37,270.065,398.201,0.179238,59.572,10067.3,403062,0
91,174.267,270.644,403.065,0.179105,59.561,10139.8,407807,0
92,172.955,271.392,407.75,0.178973,59.5517,10207.3,411810,0
93,171.442,272.658,411.813,0.178847,59.5419,10269.6,415096,0
94,169.801,274.116,415.92,0.178725,59.5283,10325.3,417746,0
95,167.833,275.767,419.879,0.178603,59.515,10375.9,419785,0
96,166.663,277.755,423.285,0.178466,59.4997,10426.3,421160,0
97,165.27,279.707,426.837,0.178313,59.4821,10470.8,422125,0
98,163.738,281.605,430.309,0.178161,59.4625,10508.7,422624,0
99,162.679,283.363,433.678,0.177994,59.4444,10540.9,422812,0
100,161.521,285.001,436.494,0.1778,59.429,10568.5,422577,0
101,160.02,286.399,439.551,0.17762,59.4146,10593.3,422131,0
102,158.949,287.834,443.226,0.177453,59.4011,10621.1,421617,0
103,157.617,289.12,447.513,0.177278,59.3893,10648.6,427973,0
104,156.065,290.276,451.334,0.177103,59.38,10673.6,434394,0
105,154.885,291.292,454.715,0.176961,59.3696,10696.6,440464,0
106,153.487,292.219,457.799,0.176831,59.3583,10718.3,446172,0
107,151.742,293.127,460.664,0.176688,59.3495,10738.4,451610,0
108,151.333,294.129,463.358,0.176557,59.3406,10757.8,456734,0
109,150.576,294.988,465.93,0.176437,59.3324,10777.9,461581,0
110,149.318,295.804,473.638,0.176317,59.3239,10797.1,466048,0
111,149.048,296.563,491.785,0.176211,59.3184,10815.4,469465,0
112,148.327,297.131,503.578,0.176104,59.3144,10832.6,472693,0
113,146.707,297.602,511.544,0.176005,59.3132,10850.9,475859,0
114,146.319,298.075,516.983,0.17594,59.3064,10868.1,478880,0
115,145.572,298.441,520.958,0.175863,59.3043,10883.2,481723,0
116,144.376,298.757,524.082,0.1758,59.3057,10894.9,484311,0
117,144.537,299.061,526.699,0.175761,59.3056,10903.2,486609,0
118,143.636,299.266,529.019,0.17571,59.3039,10908.9,488594,0
119,143.957,299.374,531.151,0.175681,59.3076,10914.3,490327,0
120,143.206,299.545,533.196,0.175673,59.3084,10917.5,491757,0
121,143.652,299.62,535.166,0.175663,59.3093,10917.3,492942,0
122,142.54,299.66,537.087,0.175653,59.3134,10931.1,493860,0
123,143.257,299.543,538.989,0.175676,59.3168,10974.5,494134,0
124,142.35,299.444,540.861,0.175687,59.3222,11011.6,494046,0
125,142.157,299.582,542.718,0.175711,59.3285,11075.2,493747,0
126,141.961,299.759,544.672,0.175756,59.3365,11135.7,493325,0
127,140.74,300.107,546.658,0.175801,59.3443,11182.9,492721,0
128,140.172,300.468,548.637,0.175859,59.3504,11217.2,492062,0
129,138.71,300.822,550.572,0.175938,59.3569,11239.6,491312,0
130,138.056,301.047,552.469,0.175993,59.3661,11253.3,490551,0
131,136.853,301.282,554.329,0.176064,59.3862,11265.7,489750,0
132,136.47,301.419,556.217,0.176184,59.3954,11275.2,488831,0
133,136.022,301.686,558.092,0.17629,59.3913,11284.3,487889,0
134,135.999,302.097,559.886,0.176367,59.3791,11295.9,486720,0
135,135.541,302.342,561.6,0.176422,59.3724,11308.1,485700,0
136,135.484,302.423,563.145,0.176418,59.3643,11323.8,484748,0
137,134.988,302.122,565.293,0.176387,59.3628,11340.3,483749,0
138,134.527,301.806,566.138,0.17636,59.3583,11361.7,482817,0
139,134.298,301.518,567.611,0.176324,59.3541,11386.2,481898,0
140,134.17,301.171,568.968,0.176283,59.3505,11413.7,480638,0
141,134.576,300.803,570.356,0.176254,59.3477,11442.4,479714,0
142,134.851,300.554,571.699,0.176212,59.3442,11475.3,478641,0
143,134.034,299.914,573.068,0.176168,59.3414,11506.7,477754,0
144,133.28,299.263,574.336,0.176143,59.3403,11541.5,476627,0
145,132.904,298.693,575.568,0.17611,59.339,11576.9,475846,0
146,132.179,297.886,576.811,0.176081,59.3374,11613.1,474980,0
147,131.459,297.208,577.903,0.176068,59.3389,11648.4,473950,0
148,130.115,296.794,579.085,0.176045,59.3399,11685.1,472940,0
149,128.502,345.596,580.196,0.176037,59.3466,11720.8,472184,0
150,127.638,308.228,581.28,0.176062,59.3601,11754.8,471514,0
151,126.504,375.359,582.404,0.176102,59.369,11791.2,470876,0
152,125.979,325.15,583.495,0.176161,59.372,11824.3,469979,0
153,126.242,389.679,584.541,0.176231,59.3747,11860.8,471673,0
154,125.578,333.45,585.537,0.176284,59.3761,11892.5,473569,0
155,124.579,390.139,586.491,0.176325,59.3779,11923.9,475444,0
156,124.689,428.31,587.355,0.176371,59.3779,11954.8,477293,0
157,147.587,355.393,588.152,0.176384,59.3758,11987,479220,0
158,126.182,409.376,588.894,0.176403,59.3745,12018.2,481096,0
159,125.675,440.579,589.601,0.176416,59.377,12048,482888,0
160,125.417,458.329,590.255,0.176418,59.3787,12075.3,484526,0
161,125.899,370.941,590.876,0.176424,59.3785,12102.2,486148,0
162,126.672,417.522,591.459,0.176468,59.3796,12129,487765,0
163,126.909,442.16,592.078,0.176478,59.3776,12152.2,489162,0
164,131.827,362.627,592.616,0.176473,59.3764,12172.6,490394,0
165,154.962,406.033,593.135,0.176477,59.3724,12189.3,491406,0
166,167.529,435.247,593.513,0.176457,59.3719,12202.4,492193,0
167,127.012,358.488,593.949,0.176468,59.3671,12210.4,492678,0
168,141.707,398.147,594.307,0.176455,59.3615,12211.4,492742,0
169,126.232,427.798,594.611,0.176415,59.3497,12214.5,492927,0
170,139.352,352.891,594.76,0.176351,59.4961,12213.3,492853,0
171,125.299,395.761,594.964,0.176326,59.336,12211.4,492740,0
172,139.082,335.327,595.081,0.176253,59.3296,12204.1,492301,0
173,155.724,382.929,595.226,0.176169,59.3167,12197.2,491882,0
174,124.715,329.483,595.289,0.176081,59.3032,12189.6,491420,0
175,139.095,379.354,595.277,0.17599,59.431,12182.8,491008,0
176,157.169,326.348,595.215,0.175876,59.5652,12171.8,490343,0
177,123.787,367.011,595.186,0.175787,59.2866,12158.9,489563,0
178,136.156,318.23,595.13,0.175692,59.278,12147.8,488896,0
179,155.437,368.125,595.066,0.175628,59.2626,12141.9,488537,0
180,150.327,319.626,594.919,0.175539,59.2339,12137.3,488260,0
181,124.358,364.959,594.742,0.175372,59.2032,12129.8,487811,0
182,138.873,388.629,594.429,0.175183,59.1068,12120.1,487225,0
183,155.98,325.817,593.715,0.174783,58.9506,12111.7,486717,0
184,131.715,362.425,592.329,0.174066,58.7157,12104.7,486294,0
185,128.357,376.178,590.029,0.172851,58.3429,12092.1,485536,0
186,134.764,380.082,586.221,0.170926,58.1606,12074.6,484481,0
187,129.618,372.494,581.84,0.168732,58.2988,12050.7,483044,0
188,127.806,369.767,578.602,0.167269,58.6806,12025.6,481537,0
189,129.121,377.727,577.897,0.167167,60.2671,12006.4,480383,0
190,132.664,392.464,580.137,0.168584,62.1964,11993.5,479611,0
191,138.581,414.621,584.969,0.171356,65.4114,11996.1,479765,0
192,150.398,454.949,593.081,0.175729,74.0851,12018.6,481117,0
193,181.632,525.667,756.019,0.183007,74.6448,12070.3,484227,0
194,261.652,644.64,1188.95,0.191957,73.1585,12150.7,489079,0
195,247.913,505.444,1552.38,0.20103,73.8146,12250.1,495099,0
196,298.645,498.613,1790.32,0.209816,69.0036,13750.4,509328,0
197,525.501,712.787,2010.79,0.216918,67.9033,16311.8,786565,0
198,847.495,763.2,1839.35,0.254219,66.5275,21123.2,1.16E+06,0
199,738.97,1376.44,2072.63,0.414046,65.385,27560.6,1.81E+06,0
200,873.094,1515.83,2300.44,0.64479,64.1439,41109.4,3.24E+06,0
201,1287.46,1303.57,2156.46,0.834703,63.3,52727.2,4.60E+06,0
202,1003.55,2365.39,2307.08,1.17868,62.968,67389.7,6.59E+06,0
203,1942.31,1429.64,2480.98,1.64842,62.618,82378.7,8.84E+06,0
204,2728.15,2910.56,2661.39,2.17804,62.2884,102740,1.23E+07,0
205,3514.34,3773.21,2844.85,2.88704,57.7101,130093,1.76E+07,0
206,2415.13,3287.65,2857.25,3.79271,56.3443,166612,2.55E+07,0
207,3623.09,2741.85,2886.65,4.87385,55.5294,211646,3.65E+07,0
208,3729.7,5233.38,3153.18,6.15253,54.9758,264842,5.10E+07,0
209,6584.17,5678.2,3372.37,7.56529,54.5586,314320,6.56E+07,0
210,3277.37,6396.72,3667.71,9.16376,54.2124,384920,8.89E+07,0
211,11252.5,8756.82,3884.98,11.0977,53.9163,451177,1.12E+08,0
212,5377,5575.32,4153.4,12.9863,53.6611,531197,1.43E+08,0
213,5009.61,6441.3,6248.17,15.0203,53.416,604008,1.73E+08,0
214,4480.65,12348.4,4872.47,16.7919,53.2142,661599,1.98E+08,0
215,7243.29,8631.79,7172.61,18.5689,53.04,699230,2.15E+08,0
216,4814.5,8814.34,4966.71,20.3266,52.8799,756773,2.41E+08,0
217,6040.43,9830.69,7940.21,21.9264,52.7456,795450,2.60E+08,0
218,7593.78,8960.12,6626.79,23.4838,52.5976,835534,2.79E+08,0
219,6719.3,11319.2,6972.14,24.2043,52.4408,845236,2.84E+08,0
220,10856.3,11588.2,8414.95,24.256,52.2979,831158,2.77E+08,0
221,6672.35,10040.3,5894.87,24.781,52.1746,886204,2.74E+08,0
222,10217.3,10769.3,8441.25,24.6735,52.0501,807734,2.47E+08,0
223,11635.8,16252.1,8993.14,24.8577,51.9208,783495,2.34E+08,0
224,7330.21,15076.6,26808.3,26.0313,51.7718,791632,2.46E+08,0
225,8677.75,11817.5,10446.2,28.6126,51.7125,841284,2.83E+08,0
226,10135.7,14308.6,10769.3,29.5655,51.6017,881313,2.95E+08,0
227,8515.39,16116.3,6971.49,29.7406,51.5281,1.25E+06,5.71E+08,0
228,7711.92,14779.1,11033.8,31.9503,51.4245,1.54E+06,7.36E+08,0
229,6788.89,12561.9,9466.25,32.3356,51.3262,1.55E+06,7.26E+08,0
230,21690.7,11923.1,13307.9,32.0399,51.2583,1.38E+06,6.03E+08,0
231,6750.72,9894.04,9112.58,32.2202,51.2121,1.22E+06,5.04E+08,0
232,10301.5,12333.8,9694.77,32.6045,51.1883,1.10E+06,4.26E+08,0
233,7617.26,12320.9,10307,33.9964,51.1625,1.11E+06,3.86E+08,0
234,14614.1,14784,11534.5,34.4768,51.1206,1.20E+06,4.07E+08,0
235,7949.14,17872.8,9517.83,35.6586,51.0699,1.31E+06,4.45E+08,0
236,11590,10688,22415.5,35.529,50.9643,1.36E+06,4.69E+08,0
237,12561.1,9954.49,9442.64,35.475,50.8895,1.40E+06,4.77E+08,0
238,9662.14,16103.6,19963.4,34.367,50.8302,1.40E+06,9.05E+08,0
239,13679.5,18008.4,9643.73,35.5238,50.7813,1.40E+06,5.36E+08,0
240,8014.73,12727,9147.36,36.041,50.7198,1.43E+06,4.87E+08,0
