Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
81,250.126,239.094,315.802,0.320397,73.5658,21928.1,2.96493e+06,0
82,227.843,236.86,316.567,0.319518,73.5538,22158.6,3.01156e+06,0
83,256.987,234.942,317.095,0.319006,73.5496,22374.3,3.0555e+06,0
84,229.893,232.675,317.543,0.318617,73.5567,22593.7,3.10049e+06,0
85,264.769,230.763,376.833,0.318366,73.563,22808.9,3.14484e+06,0
86,234.18,224.304,319.838,0.3182,73.5814,23025.5,3.18973e+06,0
87,268.864,219.367,318.675,0.318135,73.6018,23249.9,3.23648e+06,0
88,235.477,217.137,331.085,0.318154,73.6281,23476.9,3.28398e+06,0
89,274.794,214.865,319.425,0.318243,73.6508,23690.3,3.32884e+06,0
90,236.011,213.666,330.504,0.318385,73.682,23886.6,3.37027e+06,0
91,279.034,212.232,320.219,0.318575,73.7112,24072.4,3.40966e+06,0
92,235.997,211.469,337.081,0.318812,73.7444,24244.5,3.44626e+06,0
93,284.59,210.578,321.383,0.319093,73.7699,24401.5,3.47977e+06,0
94,235.911,210.253,340.85,0.319368,73.8043,24550.5,3.51167e+06,0
95,289.311,209.772,493.125,0.31967,73.8307,24696.2,3.54296e+06,0
96,237.277,209.19,415.522,0.319977,73.8624,24827.1,3.57115e+06,0
97,293.325,208.409,374.155,0.320308,73.8849,24957.9,3.5994e+06,0
98,239.414,208.276,359.94,0.320605,73.9124,25073.3,3.62439e+06,0
99,295.468,208.271,325.331,0.320916,73.9359,25178.8,3.64727e+06,0
100,242.89,208.65,518.991,0.321213,73.9603,25288.6,3.67116e+06,0
101,299.901,208.006,440.068,0.321491,73.9748,25388.2,3.69287e+06,0
102,245.927,207.503,392.272,0.321767,73.9927,25485.3,3.71406e+06,0
103,298.198,207.359,355.599,0.322014,74.0036,25586.4,3.73618e+06,0
104,247.538,207.133,371.073,0.322221,74.0166,25674.5,3.75549e+06,0
105,301.747,207.055,546.031,0.322419,74.0171,25762.7,3.77485e+06,0
106,248.958,206.825,454.03,0.322588,74.0223,25848.2,3.79366e+06,0
107,303.861,205.99,401.773,0.322715,74.0206,25923,3.81013e+06,0
108,246.784,206.255,361.712,0.322814,74.0206,25985.5,3.82392e+06,0
109,305.954,206.515,336.51,0.322888,74.0128,26047.5,3.83761e+06,0
110,246.045,207.174,556.253,0.322921,74.0045,26108.7,3.85115e+06,0
111,308.536,207.426,461.492,0.322926,73.9925,26164,3.86338e+06,0
112,248.371,207.552,405.896,0.322898,73.9813,26221.7,3.87616e+06,0
113,308.597,207.861,365.649,0.322837,73.9646,26270.5,3.88699e+06,0
114,250.15,208.049,345.839,0.322747,73.9479,26313,3.89643e+06,0
115,309.034,208.255,347.978,0.322633,73.9264,26363.4,3.90763e+06,0
116,251.254,208.269,350.291,0.322481,73.9046,26406.8,3.91727e+06,0
117,309.969,208.477,352.738,0.322309,73.8758,26443.7,3.92549e+06,0
118,251.735,208.555,355.057,0.322106,73.8468,26488.7,3.93551e+06,0
119,309.967,208.834,357.633,0.321868,73.8074,26528.9,3.94447e+06,0
120,252.35,209.02,360.22,0.321587,73.7634,26561.4,3.95172e+06,0
121,310.599,209.821,362.875,0.321251,73.7125,26602.6,3.96091e+06,0
122,253.124,212.279,365.38,0.32086,73.658,26615.3,3.96376e+06,0
123,311.694,216.238,367.954,0.320418,73.601,26614.1,3.96347e+06,0
124,254.831,218.729,370.528,0.319923,73.5424,26626,3.96614e+06,0
125,312.979,220.766,373.27,0.319379,73.4733,26666.5,3.9752e+06,0
126,255.995,222.167,375.812,0.318792,73.4054,26698.1,3.98227e+06,0
127,315.397,223.422,378.434,0.318146,73.3315,26714.1,3.98584e+06,0
128,257.56,224.482,657.064,0.31747,73.2563,26771.5,3.9987e+06,0
129,309.332,224.214,415.768,0.316734,73.1731,26787.7,4.00233e+06,0
130,252.008,221.402,360.892,0.315966,73.0866,26786.2,4.00199e+06,0
131,292.623,221.661,370.451,0.31515,72.9909,26796.4,4.00428e+06,0
132,255.331,223.184,614.614,0.314263,72.8959,26799.5,4.00497e+06,0
133,301.91,222.076,476.32,0.313338,72.7942,26782.8,4.00124e+06,0
134,254.112,218.386,413.477,0.312352,72.692,26756.8,3.99542e+06,0
135,298.479,221.302,392.099,0.311318,72.5871,26737.3,3.99104e+06,0
136,260.059,225.659,394.855,0.310248,72.4861,26698.2,3.98229e+06,0
137,282.978,227.797,396.785,0.309149,72.3731,26627.1,3.96639e+06,0
138,263.515,219.956,645.206,0.308031,72.2588,26566.7,3.9529e+06,0
139,297.121,225.626,524.854,0.306855,72.1425,26506.7,3.93952e+06,0
140,267.816,228.817,529.917,0.305646,72.025,26425.1,3.92136e+06,0
141,270.109,221.091,694.381,0.3044,71.9123,26349.4,3.90452e+06,0
142,266.541,226.724,372.107,0.303143,71.7955,26237.4,3.87967e+06,0
143,264.422,231.911,396.602,0.301858,71.679,26114.1,3.85238e+06,0
144,267.72,227.196,615.282,0.300588,71.5625,26010.1,3.82937e+06,0
145,264.501,234.812,479.696,0.299282,71.4397,25901.2,3.80535e+06,0
146,264.176,240.205,492.137,0.29796,71.3179,25781.1,3.77892e+06,0
147,261.205,233.808,400.585,0.296643,71.196,25646.2,3.74931e+06,0
148,264.737,239.85,625.712,0.29529,71.0704,25520.2,3.72172e+06,0
149,265.86,246.907,516.287,0.29391,70.9451,25391,3.69349e+06,0
150,264.384,239.772,424.748,0.292547,70.827,25289.7,3.67137e+06,0
151,264.321,244.685,404.394,0.291162,70.7051,25364.9,3.68775e+06,0
152,263.081,247.964,403.805,0.289777,70.5906,25437.8,3.70367e+06,0
153,258.828,239.686,403.134,0.288424,70.4736,25509,3.71921e+06,0
154,259.718,252.334,421.727,0.287071,70.3568,25588.3,3.73659e+06,0
155,257.271,258.458,402.071,0.285709,70.2572,25663.2,3.753e+06,0
156,273.568,247.443,401.022,0.284415,70.154,25737.9,3.76939e+06,0
157,249.897,257.049,472.536,0.283155,70.0476,25825.8,3.78872e+06,0
158,249.832,262.9,399.673,0.281904,69.93,25901.2,3.80533e+06,0
159,275.585,248.969,398.773,0.280659,69.8067,25993.8,3.82576e+06,0
160,244.829,260.06,460.154,0.279371,69.6911,26073.4,3.84334e+06,0
161,246.736,263.001,396.319,0.278053,69.5725,26648.4,3.97297e+06,0
162,285.884,256.044,629.86,0.276748,69.4461,27306.3,4.12092e+06,0
163,247.484,252.589,514.507,0.275398,69.3209,27967.3,4.27139e+06,0
164,256.944,255.293,740.306,0.274004,69.1808,28632.2,4.42452e+06,0
165,257.796,249.647,375.862,0.272598,69.0562,29299.9,4.58015e+06,0
166,267.834,246.008,650.507,0.271149,68.9191,29972.1,4.73859e+06,0
167,273.883,244.808,521.514,0.269677,68.7881,30649.5,4.90007e+06,0
168,278.645,243.808,439.169,0.268179,68.6449,31333.4,5.06496e+06,0
